Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
1,600,12415,ACAD,Acadia NP,2007
2,600,11068,ACAD,Acadia NP,2007
3,600,19220,ACAD,Acadia NP,2007
4,600,61775,ACAD,Acadia NP,2007
5,7500,132152,ACAD,Acadia NP,2007
6,7500,273765,ACAD,Acadia NP,2007
7,7500,461894,ACAD,Acadia NP,2007
8,7500,544892,ACAD,Acadia NP,2007
9,7500,371217,ACAD,Acadia NP,2007
10,6000,263311,ACAD,Acadia NP,2007
11,600,41449,ACAD,Acadia NP,2007
12,600,9070,ACAD,Acadia NP,2007
1,600,10744,ACAD,Acadia NP,2008
2,600,11131,ACAD,Acadia NP,2008
3,600,17489,ACAD,Acadia NP,2008
4,600,53798,ACAD,Acadia NP,2008
5,7500,125679,ACAD,Acadia NP,2008
6,7500,263542,ACAD,Acadia NP,2008
7,7500,470295,ACAD,Acadia NP,2008
8,7500,514443,ACAD,Acadia NP,2008
9,7500,319582,ACAD,Acadia NP,2008
10,6000,246533,ACAD,Acadia NP,2008
11,600,32759,ACAD,Acadia NP,2008
12,600,9862,ACAD,Acadia NP,2008
1,600,9366,ACAD,Acadia NP,2009
2,600,9751,ACAD,Acadia NP,2009
3,600,19258,ACAD,Acadia NP,2009
4,600,59277,ACAD,Acadia NP,2009
5,7500,129885,ACAD,Acadia NP,2009
6,7500,244780,ACAD,Acadia NP,2009
7,7500,457622,ACAD,Acadia NP,2009
8,7500,586446,ACAD,Acadia NP,2009
9,7500,399789,ACAD,Acadia NP,2009
10,6000,258007,ACAD,Acadia NP,2009
11,600,44042,ACAD,Acadia NP,2009
12,600,9475,ACAD,Acadia NP,2009
1,600,10510,ACAD,Acadia NP,2010
2,600,13398,ACAD,Acadia NP,2010
3,600,26080,ACAD,Acadia NP,2010
4,600,57992,ACAD,Acadia NP,2010
5,7500,169898,ACAD,Acadia NP,2010
6,7500,286635,ACAD,Acadia NP,2010
7,7500,545382,ACAD,Acadia NP,2010
8,7500,627918,ACAD,Acadia NP,2010
9,7500,431001,ACAD,Acadia NP,2010
10,6000,289114,ACAD,Acadia NP,2010
11,600,36736,ACAD,Acadia NP,2010
12,600,9544,ACAD,Acadia NP,2010
1,600,10428,ACAD,Acadia NP,2011
2,600,9533,ACAD,Acadia NP,2011
3,600,19510,ACAD,Acadia NP,2011
4,600,58307,ACAD,Acadia NP,2011
5,7500,132720,ACAD,Acadia NP,2011
6,7500,297222,ACAD,Acadia NP,2011
7,7500,559892,ACAD,Acadia NP,2011
8,7500,583153,ACAD,Acadia NP,2011
9,7500,387868,ACAD,Acadia NP,2011
10,6000,270477,ACAD,Acadia NP,2011
