Incident Date,Park Name,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Sex,Activity,age_range_clean,age_min,age_max,age_mid,parkCode,fullName_official,Intent_norm,Cause_norm,Month,Year,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName
2007-01-01,Glen Canyon National Recreation Area,Undetermined,Male,Not Reported,65+,65.0,,,GLCA,Glen Canyon National Recreation Area,undetermined,undetermined,1,2007,899.0,29707.0,GLCA,Glen Canyon NRA
2007-01-22,Golden Gate National Recreation Area,Drowning,Male,Vessel Related,Unknown,,,,GOGA,Golden Gate National Recreation Area,unintentional,drowning,1,2007,0.0,992940.0,GOGA,Golden Gate NRA
2007-01-22,Golden Gate National Recreation Area,Undetermined,Male,Vessel Related,Unknown,,,,GOGA,Golden Gate National Recreation Area,undetermined,undetermined,1,2007,0.0,992940.0,GOGA,Golden Gate NRA
2007-01-29,Natchez Trace Parkway,Motor Vehicle Crash,Female,Driving,15-24,15.0,24.0,19.5,NATR,Natchez Trace Parkway,unintentional,motor vehicle crash,1,2007,577583.0,486268.0,NATR,Natchez Trace PKWY
2007-01-29,Natchez Trace Parkway,Motor Vehicle Crash,Female,Driving,45-54,45.0,54.0,49.5,NATR,Natchez Trace Parkway,unintentional,motor vehicle crash,1,2007,577583.0,486268.0,NATR,Natchez Trace PKWY
2007-02-07,Gateway National Recreation Area,Undetermined,Male,Not Reported,Unknown,,,,GATE,Gateway National Recreation Area,undetermined,undetermined,2,2007,97306.0,250773.0,GATE,Gateway NRA
2007-02-10,Black Canyon Of The Gunnison National Park,Fall,Female,Not Reported,15-24,15.0,24.0,19.5,BLCA,Black Canyon Of The Gunnison National Park,unintentional,fall,2,2007,0.0,5254.0,BLCA,Black Canyon of the Gunnison NP
2007-02-11,Big South Fork National River And Recreation Area,Drowning,Male,Swimming,25-34,25.0,34.0,29.5,BISO,,unintentional,drowning,2,2007,0.0,23072.0,BISO,Big South Fork NRRA
2007-02-24,Mount Rainier National Park,Environmental,Male,Skiing,45-54,45.0,54.0,49.5,MORA,Mount Rainier National Park,unintentional,avalanche,2,2007,0.0,663.0,MORA,Mount Rainier NP
2007-03-03,Biscayne National Park,Other Transportation,Male,Diving - Scuba,25-34,25.0,34.0,29.5,BISC,Biscayne National Park,unintentional,vessel incident,3,2007,0.0,45363.0,BISC,Biscayne NP
2007-03-06,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Male,Driving,55-64,55.0,64.0,59.5,DEWA,Delaware Water Gap National Recreation Area,unintentional,motor vehicle crash,3,2007,25783.0,309430.0,DEWA,Delaware Water Gap NRA
2007-03-07,Gateway National Recreation Area,Drowning,Male,Vessel Related,35-44,35.0,44.0,39.5,GATE,Gateway National Recreation Area,unintentional,drowning,3,2007,103734.0,395610.0,GATE,Gateway NRA
2007-03-14,Colorado National Monument,Motor Vehicle Crash,Male,Driving,35-44,35.0,44.0,39.5,COLM,Colorado National Monument,unintentional,motor vehicle crash,3,2007,23742.0,32119.0,COLM,Colorado NM
