activity,parkCode,states,fullName
Arts and Culture,acad,ME,Acadia National Park
Arts and Culture,afbg,NY,African Burial Ground National Monument
Arts and Culture,agfo,NE,Agate Fossil Beds National Monument
Arts and Culture,alfl,TX,Alibates Flint Quarries National Monument
Arts and Culture,alka,HI,Ala Kahakai National Historic Trail
Arts and Culture,alpo,PA,Allegheny Portage Railroad National Historic Site
Arts and Culture,amme,MP,American Memorial Park
Arts and Culture,anjo,TN,Andrew Johnson National Historic Site
Arts and Culture,apco,VA,Appomattox Court House National Historical Park
Arts and Culture,arch,UT,Arches National Park
Arts and Culture,arpo,AR,Arkansas Post National Memorial
Arts and Culture,asis,"MD,VA",Assateague Island National Seashore
Arts and Culture,azru,NM,Aztec Ruins National Monument
Arts and Culture,band,NM,Bandelier National Monument
Arts and Culture,beol,CO,Bent's Old Fort National Historic Site
Arts and Culture,bica,"MT,WY",Bighorn Canyon National Recreation Area
Arts and Culture,bicy,FL,Big Cypress National Preserve
Arts and Culture,biho,MT,Big Hole National Battlefield
Arts and Culture,biso,"KY,TN",Big South Fork National River & Recreation Area
Arts and Culture,blri,"NC,VA",Blue Ridge Parkway
Arts and Culture,boha,MA,Boston Harbor Islands National Recreation Area
Arts and Culture,bowa,VA,Booker T Washington National Monument
Arts and Culture,cacl,NY,Castle Clinton National Monument
Arts and Culture,cagr,AZ,Casa Grande Ruins National Monument
Arts and Culture,cahi,DC,Capitol Hill Parks
Arts and Culture,cajo,"VA,MD,DE,DC,PA,NY",Captain John Smith Chesapeake National Historic Trail
Arts and Culture,care,UT,Capitol Reef National Park
Arts and Culture,cari,LA,Cane River Creole National Historical Park
Arts and Culture,carl,NC,Carl Sandburg Home National Historic Site
Arts and Culture,cebr,UT,Cedar Breaks National Monument
Arts and Culture,cham,TX,Chamizal National Memorial
Arts and Culture,chri,VI,Christiansted National Historic Site
Arts and Culture,chsc,AR,Little Rock Central High School National Historic Site
Arts and Culture,colo,VA,Colonial National Historical Park
Arts and Culture,cuva,OH,Cuyahoga Valley National Park
Arts and Culture,cwdw,"DC,MD,VA",Civil War Defenses of Washington
Arts and Culture,dena,AK,Denali National Park & Preserve
Arts and Culture,dewa,"NJ,PA",Delaware Water Gap National Recreation Area
Arts and Culture,elca,"NM,TX",El Camino Real de Tierra Adentro National Historic Trail
Arts and Culture,elma,NM,El Malpais National Monument
Arts and Culture,elmo,NM,El Morro National Monument
Arts and Culture,euon,CA,Eugene O'Neill National Historic Site
Arts and Culture,feha,NY,Federal Hall National Memorial
Arts and Culture,fiis,NY,Fire Island National Seashore
Arts and Culture,foda,TX,Fort Davis National Historic Site
Arts and Culture,fodu,DC,Fort Dupont Park
Arts and Culture,fomc,MD,Fort McHenry National Monument and Historic Shrine
Arts and Culture,fopo,CA,Fort Point National Historic Site
Arts and Culture,fora,NC,Fort Raleigh National Historic Site
Arts and Culture,fost,NY,Fort Stanwix National Monument
Arts and Culture,foth,DC,Ford's Theatre National Historic Site
Arts and Culture,fous,"MT,ND",Fort Union Trading Post National Historic Site
Arts and Culture,fova,"OR,WA",Fort Vancouver National Historic Site
Arts and Culture,gewa,VA,George Washington Birthplace National Monument
Arts and Culture,glac,MT,Glacier National Park
Arts and Culture,glba,AK,Glacier Bay National Park & Preserve
Arts and Culture,glec,MD,Glen Echo Park
Arts and Culture,goga,CA,Golden Gate National Recreation Area
Arts and Culture,grca,AZ,Grand Canyon National Park
Arts and Culture,grko,MT,Grant-Kohrs Ranch National Historic Site
Arts and Culture,grpo,MN,Grand Portage National Monument
Arts and Culture,grsa,CO,Great Sand Dunes National Park & Preserve
Arts and Culture,grsm,"NC,TN",Great Smoky Mountains National Park
Arts and Culture,grte,WY,Grand Teton National Park
Arts and Culture,guco,NC,Guilford Courthouse National Military Park
Arts and Culture,gwca,MO,George Washington Carver National Monument
Arts and Culture,gwmp,"DC,MD,VA",George Washington Memorial Parkway
Arts and Culture,hagr,NY,Hamilton Grange National Memorial
Arts and Culture,hamp,MD,Hampton National Historic Site
Arts and Culture,havo,HI,Hawaiʻi Volcanoes National Park
Arts and Culture,heho,IA,Herbert Hoover National Historic Site
Arts and Culture,hobe,AL,Horseshoe Bend National Military Park
Arts and Culture,hocu,OH,Hopewell Culture National Historical Park
Arts and Culture,hofu,PA,Hopewell Furnace National Historic Site
Arts and Culture,home,NE,Homestead National Historical Park
Arts and Culture,hutr,AZ,Hubbell Trading Post National Historic Site
Arts and Culture,indu,IN,Indiana Dunes National Park
Arts and Culture,inup,AK,Iñupiat Heritage Center
Arts and Culture,isro,MI,Isle Royale National Park
Arts and Culture,jazz,LA,New Orleans Jazz National Historical Park
Arts and Culture,jela,LA,Jean Lafitte National Historical Park and Preserve
Arts and Culture,kaho,HI,Kaloko-Honokōhau National Historical Park
Arts and Culture,keaq,DC,Kenilworth Park & Aquatic Gardens
Arts and Culture,klgo,AK,Klondike Gold Rush National Historical Park
Arts and Culture,knri,ND,Knife River Indian Villages National Historic Site
Arts and Culture,libo,IN,Lincoln Boyhood National Memorial
Arts and Culture,liho,IL,Lincoln Home National Historic Site
Arts and Culture,loea,NY,Lower East Side Tenement Museum National Historic Site
Arts and Culture,long,MA,Longfellow House Washington's Headquarters National Historic Site
Arts and Culture,lowe,MA,Lowell National Historical Park
Arts and Culture,maac,ME,Maine Acadian Culture
Arts and Culture,mabi,VT,Marsh - Billings - Rockefeller National Historical Park
Arts and Culture,mall,DC,**********National Mall**********
Arts and Culture,malu,GA,"Martin Luther King, Jr. National Historical Park"
Arts and Culture,mava,NY,Martin Van Buren National Historic Site
Arts and Culture,moca,AZ,Montezuma Castle National Monument
Arts and Culture,mocr,NC,Moores Creek National Battlefield
Arts and Culture,morr,NJ,Morristown National Historical Park
Arts and Culture,nama,DC,National Mall and Memorial Parks
Arts and Culture,nava,AZ,Navajo National Monument
Arts and Culture,nepe,"ID,MT,OR,WA",Nez Perce National Historical Park
Arts and Culture,neri,WV,New River Gorge National Park & Preserve
Arts and Culture,npnh,NY,National Parks of New York Harbor
Arts and Culture,npsa,AS,National Park of American Samoa
Arts and Culture,olsp,"AZ,CA,CO,NV,NM,UT",Old Spanish National Historic Trail
Arts and Culture,paal,TX,Palo Alto Battlefield National Historical Park
